,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend
130,canaconstance,25 - 29,"Oily, Medium Dark, Warm",22 May 2024,"Aku pakai pertama karena kondisi jerawat lagi parah parahnya, beli ini karena hopeless pakai sunscreen yang lain bikin tambah jerawat.waktu aku pakai ini yang aku rasakan adalah1. Dia mudah di serap jadi untuk orang dengan kondisi kulit oily harusnya amanbanget2.. Jerawat di wajah aku ga bertambah3. buat kondisi di ruangan AC malah jadi kering parah tapi kalau di outdoor enak cuma kekurangannya spfnya cuma 35.kalau untuk daily di ruangan biasa bukan AC aku suka sih ini, tapi kalau untuk di pakai keluar ruangan agak kurang.",3 months - 6 months,Shopee,canaconstance recommends this product!
131,rheavira,18 and Under,"Oily, Light, Cool",21 May 2024,"Dia gak aman di kulit aku yang sensitive acne prone skin malah bikin pie makin meradang dan sakit :((. Tapi dia oil controlnya bagus. bagi org org yg blg ga bagus dibawah makeup, kyknya gara gara ini water based sementara makeup lokal itu kebanyakan silicone based makanya ga nyatu dan bikin cakey. kalau makeupnya water based pasti bagus kok dibawah makeupp",1 month - 3 months,Shopee,rheavira doesn't recommend this product!
132,dictakurniawan,19 - 24,"Combination, Medium, Warm",21 May 2024,"Paling suka sama sunscreen gel karena gampang diblend dan gampang meresap...diwajah aku yang kombinasi cocok banget, harga nya kantong pelajar dan ringan dipakai nya spf nya 35 PA+++ untuk yang punya kulit berjerawat sunscreen ini rekomend banget",1 month - 3 months,Shopee,dictakurniawan recommends this product!
133,Triwahyuni00,19 - 24,"Oily, Medium, Warm",21 May 2024,"Salah satu produk skincare yang bakal ku repurchase lagi dan lagi, karena emang secinta itu sama ss-nya Azarine calm my acne. Ss-nya cocok buat kulitku yang berminyak berjerawat, gak bikin nambah minyak, gak bikin kusam, gak nyumbat pori juga.",More than 1 year,Shopee,Triwahyuni00 recommends this product!
134,Nancy_cycy,18 and Under,"Combination, Medium, Neutral",18 May 2024,VERY VERY MOISTURIZING 💦💦 tekstur nya gel yang lumayan thick tapi dia gampang meresap. Ga luntur dan ga whitecast. No fragrance jadi super nyaman untuk di pake. Ga perih di mata. Gampang untuk di cari di mana-mana jadi ga usah panik kalo abiss,1 week - 1 month,Gift,Nancy_cycy recommends this product!
135,minty,19 - 24,"Oily, Light, Cool",18 May 2024,"Ini my go to sunscreen kalau kulit lagi ngamuk-ngamuknya. Kemerahan, jerawat ataupun banyak whiteheads kalau terpaksa keluar rumah bakal pakai ini! Ada cooling effectnya waktu di apply jadi ngurangin rasa gatel juga kalau wajah lagi iritasi. Gampang di blend dan finishnya matte jadi aku suka banget! My holygrail btw dan dengan harga segitu beneran aman buat dompet! Pokoknya kalau sampai product ini di discontinue bakal aku acak-acak gudang azarine 😭",1 month - 3 months,Shopee,minty recommends this product!
136,motty12,19 - 24,"Oily, Medium Dark, Warm",18 May 2024,"Pertama kali bisa nemuin sunscreen yg cocok di wajah aku, iseng2 beli di minimarket ternyata secocok itu dan super ringan di pake ke wajah, gak bikin jerawatan, harganya murce bnget. Klo di apply agak ada sensasi dingin2 gitu, kontrol minyak di wajahh",1 month - 3 months,Indomaret,motty12 recommends this product!
137,diannovv11,19 - 24,"Combination, Medium, Cool",17 May 2024,Sejauh ini masih menjadi sunscreen terbaikku. Udah abis 3 tube dan beneran nyaman banget feels pas dipakainya. Teksturnya gel yang gampang di blend dan mudah meresap. Untuk kulitku yang oily dan acne prone skin aman banget,More than 1 year,Shopee,diannovv11 recommends this product!
138,rhmi_aul,18 and Under,"Oily, Light, Cool",17 May 2024,"suscreen ini ngaruh bgt buat ngilangin bekas jerawat aku,kulit aku tipe oily tpi pas pake sunscreen ini dia kyk bikin kulit aku jadi ga berminyak lagi,tekstur sunscreen nya ringan bgt yg kyk diratain langsung nyerap gtu,sumpah cinta bgt sama ni sunscreen💟💟",3 months - 6 months,Shopee,rhmi_aul recommends this product!
139,ikvjou,19 - 24,"Combination, Medium Light, Warm",15 May 2024,"SUNSCREEN KECINTAAN AKU SAAT INI💕 Untuk pemilik kulit oily and acne prone ini bagus banget. Di kulitku yang sensitif juga enggak nimbulin efek yang aneh-aneh. Selain itu teksturnya juga enak banget, saat di apply ke wajah langsung nyerep, matte gitu, dan enggak bikin kusam juga. Untuk aktivitas indoor, pake sunscreen ini aja udah cukup. LOVE BANGET💕",3 months - 6 months,Shopee,ikvjou recommends this product!
140,rchma,18 and Under,"Combination, Medium, Neutral",15 May 2024,10/10 jujur ini enak banget adem sejuk gitu dan dia enggak lengket sama dengan yang varian birunya the besttt sesuka itu n hargagausah di ragukan lagi muraaahhh kantong mahasiswaa ini mah jdi ga pelit ngeluarin sebanyak apapun krnaa se ringann ituu😍,3 months - 6 months,Shopee,rchma recommends this product!
141,miafalatehan,25 - 29,"Combination, Medium Light, Neutral",14 May 2024,"Cinta bangeeet! Awalnya beli karena iseng aja liat ada di Indomaret. Eh ternyata cocok banget di kulit acne-prone ku. Gak bikin tambah berminyak. Gak bikin bruntusan. Dan malah beneran bisa nenangin kulit yang 'ngamuk'. Padahal malemnya ngamuk, lalu paginya pakai ini, dan sorenya itu bruntusan mulai lenyap. Jangan pernah ganti formula please. Susah banget nyari yang cocok begini.",3 months - 6 months,Indomaret,miafalatehan recommends this product!
142,adelyanp,19 - 24,"Oily, Medium Light, Warm",13 May 2024,"It’s a winner for my oily, breakout-prone skin. It's like a lightweight shield that protects from sun damage without clogging pores or causing irritation. The gel texture feels refreshing and absorbs quickly, leaving a smooth finish that works well under makeup. Plus, it doesn't leave a bothersome white cast, which is a major win for me. While the SPF 35 might not be ideal for extended sun exposure, it's perfect for daily wear and errands. The price tag is another perk, making it a budget-friendly favorite for acne-prone skin",3 months - 6 months,Shopee,adelyanp recommends this product!
143,auliaadwii,19 - 24,"Oily, Medium, Neutral",13 May 2024,"Suka banget sama sunscreen azarine calm my acne moisturiser, teksturnya ringan mudah menyerap trus yang pasti gak lengket. Rekomended banget buat kulit yang berjerawat karena Spf nya jg tidak terlalu tinggi jadi gk membuatcomedogenic",1 month - 3 months,Shopee,auliaadwii recommends this product!
144,shrn4,19 - 24,"Combination, Medium, Warm",12 May 2024,"untuk seukuran produk lokal ini bagus sih. teksturnya krim yg gampang diblend. dia ga ada whitecast, ga ada fragrance apa (tp jadi bikin baunya aku kurang suka🥹) trs gaada alkoholnya (tp pas awal2 pemakaian aku ada cekit2 dikit dilipatan hidung, lama2 engga si, kecuali di jerawat yg terbuka jd perih dikit abis itu engga). dia ga bikin muka yg berminyak jd tambah minyakan woyyy bagusss sebenernya. tp yg bikin agak kureng itu knp sejak pakai ini aku jd bruntusan🥹😭",1 month - 3 months,Lazada,shrn4 recommends this product!
145,vhiuraa,19 - 24,"Oily, Medium Dark, Neutral",09 May 2024,"Bagus banget buat kulit aku yg acne-prone oily sensitive, soalnya aman di muka dan engga bikin kemerahan/sakit cekat-cekit/breakout. Belum lagi harganya affordable dan gampang di blend, juga engga bikin efek abu-abu gitu pas diapply. Downsidenya satu, SPF-nya cuma 35 sayang banget, kalo bisa sampe 50 ini bagus banget sih. Overall, layak dicoba pokoknya!",3 months - 6 months,Shopee,vhiuraa recommends this product!
146,Imroatul,19 - 24,"Oily, Medium, Warm",08 May 2024,senengg bgt akhirnya nemu sunscreen yg bener2 cocok dimuka ku yg rewel ini. tekstur nya gel gampang diapply gitu. nggak kerasa berat samsek. buat kulit oily ato yang lagi jerawatan cobain deh ini rekomen bgtt. repurchase? ofc yess,1 week - 1 month,Traditional Market,Imroatul recommends this product!
147,herlibq,25 - 29,"Combination, Medium Light, Cool",07 May 2024,"Pakai sunscreen ini udah setahun lebih karena emang enak banget di pakai saat jerawatan gak bikin gerah , gak lengket bener2 menyerap kaya air aja gitu Yang hijau ini lebih ringan lagi di banding yang biru si menurutku, baunya juga ngga yang aneh2",More than 1 year,Lazada,herlibq recommends this product!
148,Dianset,25 - 29,"Dry, Medium, Warm",06 May 2024,"Sunscreen yang udah lama seliweran di timeline aku, baru kesampean nyobain sekarang. first time ngerasain tekstur nya, langsung relate kenapa ini viral banget. se-ringan itu, boom! 🤯 Ringan, ngga lengket, aromanya juga ngga aneh, ngga bikin whitecast,seperti ngga pake apapun. Aku baru nyoba sekali aja udah jatuh cintong, sayangnya kekurangan produk ini spfnya sih, cukup rendah. Mau nyobain varian lain!",Less than 1 week,Shopee,Dianset recommends this product!
149,anisaaasym,19 - 24,"Combination, Medium, Neutral",05 May 2024,"teksturnya cair dan gampang banget dibland gampang nyerep, ga munculin tone up yang berlebih (ga bikin abu"") cocok untuk semua jenis kulit, dan yang pasti ringan bgt dipake, ga bikin lengket jugaaa melembabkan, menjaga dari sinar UV mantap banget lah pokonya",1 month - 3 months,Shopee,anisaaasym recommends this product!
150,nabilah_disya,19 - 24,"Oily, Light, Neutral",05 May 2024,"Udah setahunan ga ganti sunscreen soalnya cocok banget sama sunscreen azarine, cocok banget di kulit aku yang super berminyak, cepet banget nyerap ke kulit, tekstur nya ringan, no white case, ga peel off, ditimpa makeup di atasnya pun ga ngegeser make up nya sama sekali",More than 1 year,Shopee,nabilah_disya recommends this product!
151,sxnooe,18 and Under,"Oily, Medium Light, Neutral",04 May 2024,"one of the best sunscreen after skin angel's!! suitable for oily acne prone skin,,finishnya matte di aku+no added fragrance+calms my active acne. super duper affordable and definitely would purchase again🩷🩷",1 month - 3 months,Watson,sxnooe recommends this product!
152,yayaalutvia,19 - 24,"Normal, Medium Light, Neutral",04 May 2024,"Pake Azarine belum satu tahun, tapi efeknyaa udahh kerasaa bangettt. Wajah jadi lebih terlindungi, terus gak bikin jerawatt, selain itu teksturnyaa jugaa lembut. Dan yang paling woww ituu harganyaa bener² worth it untuk kantong mahasiswaa.",3 months - 6 months,Tokopedia,yayaalutvia recommends this product!
153,chrryspearss,19 - 24,"Oily, Medium Light, Neutral",04 May 2024,"teksturnya ringan banget cepat meresap, gaada bau yang aneh aneh, harnyanya super affordable, dari dulu suka banget sama sunscreen dari azarine ini, sekarang sunscreen nya aja udah ada untuk masing masing tipe kulitt jadi makin nyaman pakainya",1 month - 3 months,Tiktok Shop,chrryspearss recommends this product!
154,jianww12,19 - 24,"Oily, Medium, Neutral",04 May 2024,"Ga nenangin jerawat, entahlah mungkin di aku ga cocok. Waktu pakai ini rasanya muka jadi ketarik terus kusam, ga bikin wajah jadi berminyak, tapi jadi kering dan rasanya gak nyaman.Yah intinya cocok cocokan aja, kondisi tiap kulit wajah orang beda.",1 week - 1 month,Shopee,jianww12 doesn't recommend this product!
155,DiniOktavia_W,19 - 24,"Oily, Light, Neutral",04 May 2024,Suncreen favorite aku di tahun ini yaitu azarine ini si hijau kecil ini bikin kuliat aku yang oily jadi lebih sehat dan enak banget di pakeknya teksturnya cremy gel mudah meresap diaplikasikan nya ada sensasi cool gitu kalo di pake dan gak bikin muka kita jadi kusem. terdebest sih ini,6 months - 1 year,Shopee,DiniOktavia_W recommends this product!
156,Afniem_,19 - 24,"Combination, Medium, Neutral",04 May 2024,"Alhamdulillah baru pertama pake sunscreen azarine yg ini ternyata enak banget, ringan gak lengket, Alhamdulillah cocok, stelah menjelajah dunia per skincare an baru kali ni dpt yg klik bgt d wajahku, terutama dg jenis kulitku yg sensitif ini, thanks azarine",1 month - 3 months,FD Try and Review,Afniem_ recommends this product!
157,fasyanrw,19 - 24,"Combination, Medium, Neutral",03 May 2024,"Kalau udh dipake lebih dari satu tahun BERARTI COCOK BGT DIMUKAKU. Awalnya pake yg sunscreen biasa, trs keluar seri ini langsung coba dan BAGUS BGT. Dia tipe yg cepet nyerep dan gak lengket. Dia juga ngebantu buat calm acne aku soalnya makin lama makin better. Walau ada moistnya ttp harus pake moist yaa, krn ini sifatnya aja yg kaya moist. Di mukaku yg berminyak ini gak bikin minyakan banget, bagus pokoknya",More than 1 year,Shopee,fasyanrw recommends this product!
158,sayturnus,19 - 24,"Oily, Medium Dark, Neutral",03 May 2024,"ga expect bakal suka sama sunscreen ini sih. teksturnya light dan cepet menyerap ke kulit, ga bikin kusam, dan yg paling penting ga ada whitecastnya! untuk kulit oily kaya aku dia ga bikin sumuk/cepet berminyak alias nahan minyak bgt! so far so good dan bakal repurchase absolutely!",1 week - 1 month,Shopee,sayturnus recommends this product!
159,amw118,18 and Under,"Combination, Medium Light, Cool",02 May 2024,"Saya awalnya beli karena sunscreennya Azarine viral sih, ya walaupun varian yang lebih famous itu yang gel dan bukan yang ini. Tapi karena harganya murah ya sudah saya coba saja, sekalian karena suncreen saya habis. Teksturnya cream, agak thick tapi cukup gampang diserap. Moisturizing juga dan cocok buat base bedak. Cuma yang agak noticeable, product ini kadang agak panas dan nyelekit di bagian kulit yang berjerawat. Padahal claimnya ini kan sunscreen untuk acne, tapi rasanya kurang comfortable untuk kulit berjerawat yang lagi sensitif. But overall untuk performanya sebagai sunscreen dengan harga segini, okelah.",1 month - 3 months,Alfamart,amw118 recommends this product!
160,maahirah,18 and Under,"Combination, Medium Light, Neutral",30 Apr 2024,"I REALLY LOVEE THISS PRODUCTT!!! Sunscreen teringan dan ga bikin breakout sama sekali. Texturenya light, no whitecast, cocok untuk kulit oily, dan walaupun lagi jerawatan ga bikin tambah breakout. Untuk efek calming acnenya di aku kurang berpengaruh sih, cuman untuk breakout skin aman sih ini.",3 months - 6 months,Shopee,maahirah recommends this product!
161,Sooleeha,25 - 29,"Oily, Medium Light, Neutral",30 Apr 2024,"Suka banget sama ss ini, dr segala hal ini ss ternyaman dipakai sama dikantong juga. Dipake di bawah makeup juga bagus ga bikin longsor. Buat reapply juga enak. Aku reapply klo abis sholat Dzuhur. Tapi ga tahu kenapa mukaku tetep belang. Apa kurang tinggi spfnya? Atau kurang sering reapply nya ya? Mau pindah ke yang lain tapi belum Nemu yang cocok. Jadi antara cinta dan bingung yang kurasa ini.",6 months - 1 year,Shopee,Sooleeha recommends this product!
162,Priscillaya,18 and Under,"Oily, Medium Light, Neutral",30 Apr 2024,"One of the best sunscreen yg perna aku cobaaaa!! teksturnya watery gel, g ad bau yg aneh2, aman buat acne prone skin, cepat menyerap + ga bkin greasy, harganya jugaa affordablee banget gampang di cari di mana-mana produknya, oke jg buat base makeup",1 month - 3 months,Guardian,Priscillaya recommends this product!
163,Noyiiiel_,18 and Under,"Oily, Medium, Neutral",29 Apr 2024,"Ini sunscreen pertama yang aku pakai dan SEBAGUS ITU!!!!! 10/10 di aku yang kulitnya sensitif, berjerawat, berminyak ga bikin nambah jerawat Tekstur nya juga ringan banget, cepat menyerap POKOKNYA BENERAN SEBAGUS ITU !!!!! 10/10 ♡♡♡♡♡",6 months - 1 year,Tiktok,Noyiiiel_ recommends this product!
164,tupaigoreng,19 - 24,"Combination, Medium Light, Neutral",27 Apr 2024,"jujurly aku suka bangeettt texturenya 🥹 tapii ga cocok samsek dimukaku huhuhu. honestly really wished this would work out karna testurnya ringan kayak moisturizer biasaa. tapi turns out dia nimbulin jerawat kecil-kecil besoknya 🥲 akhirnya aku ngasih ke pacarku aja, and di kulit dia bagus-bagus aja sih. sepertinya emang kulitku yang gak cocok sama sunscreen deh 😭",1 week - 1 month,Shopee,tupaigoreng doesn't recommend this product!
165,genn,19 - 24,"Oily, Light, Neutral",26 Apr 2024,"Gue make produk ini malah jadi timbul beruntusan di dahi dan pipi. Padahal dia cepat banget nyerapnya dan ngelembabin kulit gue, sayang bngt malah ga cocok make produk inii huhuhu. Kan awalnya gue kira emang purging kan yah, trus gue tes deh sampe nih produk habis dan beruntusan gue malah makin parah. Yauda sih gitu doang",1 month - 3 months,Shopee,genn doesn't recommend this product!
166,Rinikamalia,25 - 29,"Oily, Medium, Neutral",25 Apr 2024,"Di kulitku yang oily dan acne prone ini, approved bangettt. Setelah pakai, kulit lembab, oil control nya dapet, beneran kalemin kulit. Terus teksturnya juga lebih mirip moisturizer gel gitu. Ada jerawat, bener bantu calming. murce pula",6 months - 1 year,XBeauty by Female Daily,Rinikamalia recommends this product!
167,gitalova,18 and Under,"Dry, Medium Light, Cool",23 Apr 2024,"akhirnya setelah purnama aku nemu sunscreen yang cocok bgt>< teksturnya enak jadi ngelembabin, hasilnya bikin kulit lembut masaa.trus after diaply dia ga bikin kusam,jadi makin pede keluar dehhh.karna biasa aku tiap make ss jadinya kusam berminyak,waktu make ini nggaa.so im in love to this👊👊💐🌷",Less than 1 week,Shopee,gitalova recommends this product!
168,capriull,25 - 29,"Combination, Medium Light, Neutral",19 Apr 2024,"Produk ini cocok banget buat kulit yang berjerawat, aku juga waktu pakai produk ini kulit jadi terasa lembab, kulit berjerawat jadi teratasi, dan teksturnya juga creamy. Produk ini recommended banget loh, bisa beli di Female daily ataupun E-commerce lainnya🥰",1 week - 1 month,Shopee,capriull recommends this product!
169,Ayakamelody,25 - 29,"Oily, Medium, Neutral",15 Apr 2024,"Saya suka sekali produk ini. Kulit saya berminyak dan mudah jerawatan. Tapi, akhir-akhir ini makin sensitif daerah hidung, sekitar mulut dan pipi. Setelah hanasui collagen serum habis, saya coba beli ini karena ga ketemu. Ini sdh 2 kali saya pakai calm my acne dan habis. Masih coba pesan online lagi. Kandungan simple. Saya liat beneran ga ada parfum, alkohol, pewarna, mineral oil. Lebih aman. Tapi hasilnya matte. Teksturnya light gel. Cepat meresap ke kulit dan finish kering. Harus cepat dibaurkan. Ga bikin gatal di kulitku. Padahal chemical sunscreen. Memang ga whitecast dan ga panas gitu. Saya pakai bersamaan facial cleanser you yg anti bactery dan hada labo lotion. Puji Tuhan. Jerawat batu hilang. Mungkin juga pas lagi datang bulan makanya muncul banyak jerawat bikin risih. Buat kulit kombinasi (ada bagian kering), kayaknya kurang cocok pakai yang ini. Soalnya hasilnya matte. Ga terlalu moist/intense hydrating gitu.",1 month - 3 months,Shopee,Ayakamelody recommends this product!
170,deytitaa,19 - 24,"Oily, Medium Light, Neutral",14 Apr 2024,bagus banget ga expect berawal dari iseng mau cobain ternyata cocok dikulit aku yg oily acne prone terus juga ga bikin bo dan whitecast🥹🤍sensasi pemakaiannya berasa dingin2 gitu huhu suka banget tapi disini minusnya cuma di bau nya aku kurang suka it's oke gapapa tetep suka,3 months - 6 months,Indomaret,deytitaa recommends this product!
171,hana_flow_,18 and Under,"Combination, Medium, Neutral",13 Apr 2024,"ini sunscreen terbagussssss! jsjsskejdjdjsjnsnskskks harga nya murah cepet meresap kekulit ada sedikit tone up nya tapi gak yang lebay sampai abu abu ga minyakan jugaaa di kulit buat acne juga engga perih bagus deh, buat harga segitu worth to try",1 month - 3 months,Official Brand Store,hana_flow_ recommends this product!
172,Stefaneyy,18 and Under,"Oily, Medium Light, Neutral",12 Apr 2024,"Skin type ku oily with acne. INI WUENAKKK POLL SS NYAA. Teksturnya ringan & finishnya mate gitu. Menurutku dia juga lumayan oil control. Biasanya setengah jam itu hidungku udah kayak kilang minyak tapi pake ini setengah jam masih aman. Dia juga ga trigger jerawatku tapi kadang bikin bruntusan, kadang engga. OVERALL BAGUSSS",1 month - 3 months,Dan+Dan,Stefaneyy recommends this product!
173,CheeseT,30 - 34,"Oily, Medium, Neutral",11 Apr 2024,"➕Jadi varian sunscreen azarine paling favorit! Lebih enak dibanding hydrasooth. Lumayan membantu pas kulit lagi ngamuk dan berjerawat, lebih ada efeknya dibanding yg biru. Ada sensasi dingin, walau ga sedingin hydrasooth atau cicamide barrier, tapi teksturnya lebih enak ini. Cocok bgt di kulit oily-ku, ga bikin becek, ga greasy. Ga ada whitecast. Cepat meresap dan bagus di bawah make up. ➖Packagingnya ntah mengapa ga enak, kalau isi tinggal setengah sampai udah mau abis itu susah keluarin produknya, tapi sekalinya bisa keluar muncrat banyak banget. ✔️Repurchase? Yes!",1 month - 3 months,Shopee,CheeseT recommends this product!
174,Nrfalahaljnh,19 - 24,"Dry, Medium, Neutral",03 Apr 2024,"Sunscreen yg termasuk ringan dan ga buat greasy di muka aku, krn spf nya yg minim dan juga tekstur nya ringan jd menurut aku cocok kali ya di muka aku.. awal nyobain kek ada sensasi panas dan agak greasy si emgg tp hanya pemakaian awal.. setelah pemakaian aku ngerasain muka aku jd lembab dan finisih nya itu matte tp ga buat kering gituuu.. tapi gatau kenapa setelah pemakaian sekitar 3 hari'an ko muka aku jd bruntusan ya pdhl tekstur nya menurut aku gel dan ringan tp buat muka aku jd bruntusan huhuhu pdhal udh mau repurchase klo habis tp sejauh ini untuk ngelembabin okeeee",Less than 1 week,Shopee,Nrfalahaljnh recommends this product!
175,shintaadelia_,18 and Under,"Oily, Medium, Warm",02 Apr 2024,"aku suka banget sama sunscreen ini, bener bener bikin calm jerawat ku, beruntusan berkurang, jerawat ku juga makin pudar semenjak pakai sunscreen ini. kalo di aplikasiin ke wajah bener bener ringan banget, kayak ga pake sunscreen !! 💚💛",1 week - 1 month,Shopee,shintaadelia_ recommends this product!
176,Flea,30 - 34,"Combination, Medium Light, Neutral",31 Mar 2024,"Suka banget sama ss ini karena udah sepaket sama moisturizer, jd praktis banget, cocok sama aku yg gak suka kerempongan skincare Hahaa.Teksturnya oke, gampang di blend, cepat menyerap, gak bkin kusam dan sangat membantu mengatasi masalah breakout. Yg paling aku suka dari ss ini, tone up nya gak lebay. Ini ss favorit aku sih. Aku udah purchase berkali² karena mmg secinta itu. Recommended 🫶🏻",1 month - 3 months,Official Brand Store,Flea recommends this product!
177,dianash,19 - 24,"Combination, Medium Light, Neutral",30 Mar 2024,"Sunscreen yg cocok untuk acne prone skin sih, ini uda tube ke - 10 selama aku pake, menurut aku sih sunscreen yg ga bikin kusam dan after cleansingnya ga ada numbuh jerawat, dan yang pasti tidak berbau (no fragrance). semoga ada yg lebih gedenya ya 😌",More than 1 year,Tokopedia,dianash recommends this product!
178,winarjiyono,30 - 34,"Oily, Medium Dark, Neutral",29 Mar 2024,"Berharap banget sama produk ini karena belum nemu SS yang cocok. E malah percobaan pertama langsung muncul jerawat, sempat berhenti dan akhirnya coba lagi. Alhasil, terulang kembali dan akhirnya stop. Padahal suka banget sama tekstur dan hasil akhirnya. :-(",1 week - 1 month,Shopee,
179,nadasushi,19 - 24,"Combination, Medium, Warm",24 Mar 2024,"Beli pas lagu promo eh malah keterusan repurchase! Ini bagus banget utk kulit yang lagi jerawatan karena dulu pake ini pas lg breakout dan bantu banget! Texturemya ringan, gak lengket, dan gak ada bau menyengat. Dipake under makeup juga aman, gak bikin makeup jadi oily atau cakey.",1 month - 3 months,Watson,nadasushi recommends this product!
180,EnoID,25 - 29,"Combination, Medium, Warm",24 Mar 2024,"Harusnya sih non komedogenik kalau liat list bahannya, tapi di aku bikin komedoan. Malah bagusan yang biru, ga bikin komedoan padahal ada bahan komedogeniknya. Feelnya enak padahal, ga bikin greasy. Tipe kulit kombinasi normal-oily, sensitif juga sih. Mungkin kulitku sensitif sama sebagian bahannya.",1 month - 3 months,Shopee,EnoID doesn't recommend this product!
181,seninuraeni,25 - 29,"Combination, Medium Light, Neutral",22 Mar 2024,sunscreen azarine paling favorite yang ini paling nyaman dipake nya gampang meresap dan melembabkan ga bikin muka jadi keliatan kucel nyaman dipake nya ga peeling ga ada sensasi panas atau perih dan lebih ngontrol minyak di wajah love bgt sih,3 months - 6 months,Tokopedia,seninuraeni recommends this product!
182,nadd1eu,18 and Under,"Combination, Medium, Warm",22 Mar 2024,Chit Chat Sunscreen : Azelii ini mah ‼️ kulit aku susah nemu sunscreen chemical yang cocok sampe ngebuat aku nyerah dan berakhir tinted sunscreen tapi kalau make up aku butuh chemical namun ketika si IJO kecil ini datang menyelamatkan hidupku zekalii 🫶🏻 wlpn yang ga bikin ga acne tuh kaya ga mungkin sih.,1 month - 3 months,Beautyhaulindo,nadd1eu recommends this product!
183,Mutia0910,18 and Under,"Oily, Medium, Neutral",20 Mar 2024,"OK dari segi tekstur ini sunscreen azarine mirip-mirip ya, seperti yang hydrashoothe sama Hydramax. Easy to apply, finish nya matte, wanginya gaada.. ga kusem juga. cocok banget sama aku yang lagi jerawatan on off pake ini nyaman, ingredients nya juga bagus-bagus banget 🥹",3 months - 6 months,Shopee,Mutia0910 recommends this product!
184,Viiviiyy,18 and Under,"Combination, Medium Dark, Cool",20 Mar 2024,"Ini sunscreen terfavvv! Teksturnya gel yg ringan dan cepet meresap. diblendnya gampang, ga whitecast dan ga bikin kusam di muka aku + ini tu adem bgt pas kena kulit, asal nyimpennya bener aja. Harga 30rban dengan netto 40ml, wow! Di kulit aku yg combi to dry, ini cocok² aja wlwpun highlightnya buat acne skin / kulit berjerawat. Finishnya di aku kek satin gitu, ga terlalu kerasa efek melembabkan tapi ini worth trying banget. Cobain deh. Thank you for reading❤️.",Less than 1 week,my sister's,Viiviiyy recommends this product!
185,puansyadiva,19 - 24,"Combination, Medium, Neutral",19 Mar 2024,"Cocok untuk acne-prone dan oily skin karena finishnya agak matte. Tapi walaupun aku acne prone dan kulitku combi yang cenderung sering mengeluarkan minyak banyak tapi kurang suka sama yang finishnya matte gini karena wajahku juga dehidrasi, jadi kalo pakai yg finishnya matte gini berasa kurang seger aja dan kurang enak bikin kulit jadi kaku kalo untukku.",1 week - 1 month,Shopee,puansyadiva recommends this product!
186,unforg1ven,19 - 24,"Oily, Medium Light, Neutral",14 Mar 2024,"Buat kalian yang suka sunscreen no white cast ini cocok banget, suncreen ini tuh ngga ada white cast dan ga lengket sama sekali setelah dipake. tapi di aku memang kurang cocok guys huhu :( dan suncreen ini tuh termasuk chemical sunscreen ya guys. oiya, aku udah habis 2 tube sunscreen ini karena suka banget sama hasilnya !!! < 33",6 months - 1 year,Shopee,unforg1ven recommends this product!
187,abrils,19 - 24,"Combination, Medium Light, Neutral",13 Mar 2024,"Untuk kamu yang punya kulit wajah oily, acne prone, komedo, kemerahan, kebetulan sama seperti tipe kulit aku dan aku rekomendasiin SS ini karena dri experience aku pakai, ss ini ngaruh banget dan bikin kulit wajah kita terjaga dri teriknya matahari, so far aku merasa perubahan kulit wajah aku lebih glow dri sebelumnya dan kemerahan juga bisa terkontrol. Dan aku juga jadi jarang jerawatan semenjak pakai ss ini rate 10/10 !!",3 months - 6 months,Shopee,abrils recommends this product!
188,AidaArisa,18 and Under,"Oily, Medium, Cool",11 Mar 2024,"JANGAN PAKE INI KALO MALEMNYA ABIS PAKE RETINOID. Karena bisa dibilang alternatif untuk orang yang ga bisa pake retinoid itu bakuchiol, nah di ingredient sunscreen ini ada bakuchiol jadi pas malemnya pake retinoid dan paginya pake sunscreen ini di hari2 pertama muka rasanya cekat cekit, di 1 minggu berikutnya lama2 jadi makin tambah sensitif dan ada rasa burning. Ga nyaman banget. Mungkin bakal cocok buat orang yang ga pake bahan aktif atau yang ga bisa pake retinoid, ini bisa banget jadi alternatifnya.",1 month - 3 months,Shopee,AidaArisa doesn't recommend this product!
189,IkaPark,19 - 24,"Combination, Medium, Neutral",09 Mar 2024,"Alhamdulillah akhirnya aku nemu Sunscreen yang beneran cocok diwajahku🥲😍 sumpah sunscreen dari azarine ini pas diaplikasikan ke kulit wajah itu dia cepat meresap, udah gituu setelah meresap kulit jadi seger, ada sensasi dinginnya gituuu 🥰 ga lengket, ga bikin perih juga di mata, dan yang terpenting adalah ss ini bikin kulitku yang cenderung berminyak ini jadi berkurang minyaknya. aku make ss ini dari jam 8 jam 5 sore wajah ku bener2 ga berminyak, sukaa bangettttttt 😗🤩",1 week - 1 month,Alfamart,IkaPark recommends this product!
190,Jiminpark,25 - 29,"Normal, Dark, Warm",07 Mar 2024,"Kemasannya tube warna hijau, tutup flip top. Teksturnya watery gampang banget dibaurkan, mudah meresap, gak lengket, gak sumuk. Gak bikin jerawatan di wajahku yang memang acne prone, harga murah dan gampang di cari dimana aja, azarine memang top semua sih produknya",1 week - 1 month,Indomaret,Jiminpark recommends this product!
