Unnamed: 0,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count
136,grecia23_,19 - 24,"Combination, Medium Light, Neutral",2024-04-15,"salah satu sunscreen yang ramah banget buat kulit normal to oily! 100/10 deh! teksturnya lumayan cair, gampang diblend dan mudah menyerap juga. no whitecast, gak bikin kusam juga. untuk perlindungannya so far di aku ok kok, yang penting rajin reapply tiap 2-3 jam sekali kalau aktivitas kalian di outdoor.",3 months - 6 months,Shopee,grecia23_ recommends this product!,5
137,d_rahma,30 - 34,"Combination, Medium Dark, Neutral",2024-04-15,"sunscreen yang cocok di muka aku yang cukup sensitive. Teksturnya ringan, mudah di blend, no parfume, dan yang penting no whitecast. Udah re purchase karena saking cocoknya, harganya juga ngga nguras kantong. worth it banget sik kalau menurut aku....",1 month - 3 months,Lazada,d_rahma recommends this product!,5
138,qonitanrl,19 - 24,"Dry, Medium, Warm",2024-04-14,Siapa yang ngga pernah coba sunscreen ini? No whitecast dan ringan diwajah. Harganya ramah dikantong. Teksturnya enak banget diwajah dan nggak lengket. Pergi keluar cuma pake sunscreen ini doang ga pake bedak juga ga masalah karna yaa enak ajaa ini sunscreen,3 months - 6 months,Shopee,qonitanrl recommends this product!,5
139,menaajj_,19 - 24,"Combination, Medium Light, Neutral",2024-04-14,"this sunscreen bagus banget dimuka tekstur juga enak gampang dipake, udah pakai agak lama dan ngga beruntusan kusam jerawatan di muka saya dan sepertinya bantu proses nenangin nya juga. bagus banget, buat remaja sma smp juga yang baru mau coba sunscreen merek ini, recommended",6 months - 1 year,Shopee,menaajj_ recommends this product!,5
140,dhitabeauty,25 - 29,"Dry, Medium, Warm",2024-04-13,"sejauh aku pake ini sebenernya ga ada yang bikin aku ga nyaman atau keganggu sih cuma aku ngerasa gampang keapus keringet, jadi hafus sering sering apply. Harga murah sih cuma isinya sedikit jadi klo diitung itung sama pemakaian termasuk sunscreen middle range lah. Buat ganti ganti lumayan lah klo bosen sunscreen lama tapi personally aku ga bikin dia jadi sunscreen utama hehe",1 month - 3 months,Shopee,dhitabeauty recommends this product!,3
141,simplyrania,30 - 34,"Dry, Medium, Warm",2024-04-11,"Sunscreen ini punya tekstur yang sangat watery, ringan, dan tidak lengket. Tidak ada fragrance yang menyengat. Tidak ada whitecast. Cuma untuk menyerapnya butuh waktu lumayan ya. Hasil akhir sunscreen ini velvet matte, dan masih nyaman juga digunakan untuk kulit normal cenderung kering.",More than 1 year,Traditional market,simplyrania recommends this product!,4
142,Mardhita,19 - 24,"Normal, Medium, Warm",2024-04-07,"Sunscreen dengan harga yang terjangkau dan kualitas yang cukup baik, karena mengandung moisturizer jadi mudah untuk diaplikasikan. Tapi di beberapa pemakaian, agak terasa panas di jenis kulit wajah ku yang normal",3 months - 6 months,Lazada,Mardhita recommends this product!,4
143,rrviantyroose,30 - 34,"Combination, Medium, Neutral",2024-04-06,"sunscreen kecintaanku!!! teksurnya gelbening langsung nyerep. Bagus banget di kulit normal to oily kayak aku. Ga ada whitecast, ga ada efek bulir2 kyk peeling gitu. Nyaman banget kayak ga pake sunscreen! Pasti bakal repuchsse sih!!!!!",Less than 1 week,Guardian,rrviantyroose recommends this product!,5
144,AdindaBL,25 - 29,"Normal, Medium Light, Neutral",2024-04-04,"idk why aku ga cocok pake sunscreen ini 🥺 texturenya sendiri lightweight ya dan cepet menyerapnya, gada wangi yang mengganggu juga. tapi sayang sekali di kulitku tidak cocok karena menimbulkan bruntusan yang cukup banyak. maybe i’ll try another variant !",1 week - 1 month,Official Brand Store,AdindaBL doesn't recommend this product!,2
145,Liza2004,19 - 24,"Combination, Dark, Warm",2024-04-03,"Produknya bagus banget, cepet nyerap dan beneran ngelindungin kulit dari sinar matahari. Tapi sayangnya aku kalau pake sunscreen jenis gel atau cair kayak gini mukaku malah jadi oily banget, jadi waktu sadar kalau produk jenis ini kurang cocok di wajah aku pakein ke badan, deh.. kan lumayan rugi kalau gak kepake, hehe",1 month - 3 months,Alfamart,Liza2004 recommends this product!,4
146,SleepyChips,19 - 24,"Normal, Dark, Neutral",2024-04-02,"Aku tipe yg gabisa pake ss karena bikin kusem dan ""gerah"" but surprisingly ss satu ini bener bener ringan dan nggak berat sama sekali. Kaya pake moisturizer aja gitu. Minusnya feels di muka agak bikin ketarik sih di aku tapi masih jauh lebih oke daripada bikin oily.",1 week - 1 month,Shopee,SleepyChips recommends this product!,5
147,kokoro12,18 and Under,"Oily, Medium Light, Cool",2024-03-30,"suka sama finish nya yang matte, rasanya ringan gitu di wajah. cocok banget buat oily skin dan pemula yang mau coba pakai ss! minus nya ss ini lumayan cepat habis sih di aku + harga nya lumayan mahal bagi aku yang pelajar ini, ada harga ada kualitas sih..",1 week - 1 month,Shopee,kokoro12 recommends this product!,4
148,amandabilla98,25 - 29,"Oily, Medium, Neutral",2024-03-28,"siapa sih yang gatau sunscreen viral iniii?!! kayaknya semua tau sih. punya texture yang nyaman, ringan dan cocok untuk semua jenis kulit. ga bikin whitecast sama sekali. kandungannya juga bagus2. mengandung royal jelly dan greentea jadi cocok dan aman banget buat acne prone skin<3",Less than 1 week,Gift,amandabilla98 recommends this product!,5
149,Elorael,19 - 24,"Combination, Light, Cool",2024-03-28,"Lupa pakai sunscreen dong, akhirnya ke alfamart ketemu azarine ini, dan ternyata enak banget dipakai ga bikin berminyak ataupun ada whitecast juga 💖 pas dipakai juga kerasa dingin seger jadi fresh gitu di muka 😂Sangat RECOMMENDED!!! 🫶🏻🫶🏻🫶🏻",1 week - 1 month,Alfamart,Elorael recommends this product!,5
150,odedess,18 and Under,"Combination, Medium Light, Neutral",2024-03-27,"utk kulit sensitif kykny ini ga terlalu recommended, soalnya dia ini tipe physical sunscreen dan utk kulit aku dia ga cocok. baru apply kerasa panas dan merah2 gitu dia jg bikin beruntusan dimukaku makin parah. terlepas dari itu aku suka dengan teksturnya, waktu diapply ke muka dia easy to blend dan setelah set kita kyk gak pake apa2 gitu",1 week - 1 month,Traditional market,,2
151,Dewi_anggrainie,25 - 29,"Dry, Medium, Warm",2024-03-27,"Sunscreen yang Lembut tidak lengket , Kualitas Oke dengan Harga standart. Sudah coba habis 3 tube Hasilnya Bagus di wajah bikin lembab dan Terlindung dr paparan sinar matahari , digunakan sebelum bepergian sangat cocok digunakan sehari hari",1 week - 1 month,Blibli.com,Dewi_anggrainie recommends this product!,4
152,diorwf,19 - 24,"Dry, Medium Light, Neutral",2024-03-26,"sun screen terviral cuman ga cocok buat kulit kering karna bikin tambah kering bikin funggal acne bikin kusam juga, bolongan di tube nya gede banget jadi bikin produk boros banget lama kelamaan bikin berat kek minyakan bikin komedoan juga",1 week - 1 month,Tokopedia,diorwf doesn't recommend this product!,1
153,Divabunga,19 - 24,"Combination, Light, Cool",2024-03-26,"pertama kali pake suncreen ini tuh rasanya kayak ga pake apa apa karena ringan banget di kulit, teksturnya yang gampang menyerap, spf nya udah cukup pokoknya buat kulit kombinasi kayak aku ini bagus banget rekomen deh pokoknya. buat yang masih bingung nyari suncreen aku rekomendasiin suncreen dari azarine ini",More than 1 year,Shopee,Divabunga recommends this product!,5
154,Syafiaaaz,19 - 24,"Dry, Medium Light, Warm",2024-03-25,"teksturnya gel cream bagus di kulit aku yg normal to dry skin type, bikin lembab kayanya gaperlu lagi pake moisturizer deh kalo pake azarine ini, cepet nyerep juga, pas di aplikasiin ada rasa adem ademnya gitu dan ga berasa berat. satu lg dia no white cast",3 months - 6 months,FD Studio Store,Syafiaaaz recommends this product!,4
155,Stellagrantiana,19 - 24,"Combination, Medium, Neutral",2024-03-24,"Kulit aku kombinasi, sunscreen ini baguss bgt gabikin kulit aku makin berminyak. Baguss bgt buat jd alas cushion jddd makinn smooth. Cepet meresap jg ga lengket enakk bgttt. Pernah coba yg orange juga tapi tetep baliknya ke yang ini. Harus cobain",More than 1 year,Tokopedia,Stellagrantiana recommends this product!,5
156,tarithia_,19 - 24,"Oily, Light, Neutral",2024-03-24,Sunscreen ini tuh sebenernya enak banget dipakai karena gak bikin whitecast di muka dan juga gak nimbulin jerawat. Bener-bener sunscreen andalan apalagi harganya juga terjangkau tapi sayang nya gatau kenapa tiba tiba aja pernah sekali waktu pake sunscreen ini malah peeling padahal sebelumnya gapernah dan gaada ganti skincare yg lain juga. Jadi kalau dibilang recommended apa enggak bingung juga sih,More than 1 year,Shopee,tarithia_ recommends this product!,4
157,Zwaan,35 - 39,"Normal, Light, Neutral",2024-03-23,"Tekstur gel, ringan banget, yg ini tipenya buat kulit lembab jadi cocok banget untuk jg kulitnya kering. Gampang di blend dan cepat meresap ke kulit, bikin kita ngga males lagi pake sunscreen full muka dan jangan lupa di leher juga. Saat ini uda habis 2 tube, ini yang ke 3",3 months - 6 months,Shopee,Zwaan recommends this product!,5
158,megayunitam,25 - 29,"Combination, Medium, Neutral",2024-03-23,"yaaahh sayang bgt aku ga cocok sama produk ini😭 pdhl lg cari2 bgt sunscreen yang affordable, tp ternyata kita tidak berjodoh. Kayanya ada bbrp ingredients yang gabisa diterima sama kulitku, jd semenjak pake ini kulitku jd lebih berminyak dan rentan jerawatan gitu, huhu byeee",Less than 1 week,Guardian,megayunitam doesn't recommend this product!,2
159,adyazaaa,19 - 24,"Combination, Medium, Neutral",2024-03-22,"Second sunscreen I’ve tried. Teksturnya gel gitu, tipe sunscreen yang ringan pas dipake, gaada white castnya, finishnya berminyak gitu diaku🥲 lumayan bisa bikin sinar matahari terhempas👍🏻 but, I don’t reuse & repurchasr this sunscreen cause I found another good sunscreen yg lebih ringan dari Azarine🥹",1 month - 3 months,Shopee,adyazaaa recommends this product!,4
160,desyantiayu,30 - 34,"Combination, Medium Light, Cool",2024-03-22,"dari semcua sunscreen yang pernah dicoba ternyata yang paling cocok ya dari azarine ini. Dia bentuknya gel, jadi diapply ke kulit ga lengket, ringan banget, g benyek di muka (ini sih yang penting) dan ga bikin whitecast. bikin glowing di kulit kombinasiku",More than 1 year,XBeauty by Female Daily,desyantiayu recommends this product!,5
161,Ylatrzolv,25 - 29,"Combination, Medium Light, Warm",2024-03-21,"Sunscreen yang ringan bangettttt. Setelah diapply, langsung adem dan menyerap ke kulit. Gak peeling dan aman dipakai makeup. Harganya affordable dan isinya banyak. Cuma sayangnya kalau lagi gak kepingin makeup tapi mau keluar hanya pakai skincare aja, setelah beberapa lama Sunscreen ini bikin wajah keliatan kusam. Jadi mau ga mau tetep harus di set pakai bedak tabur/twc lagi baru oke.",More than 1 year,Shopee,Ylatrzolv recommends this product!,4
162,triluda19,19 - 24,"Normal, Medium, Cool",2024-03-20,"sunscreen azarine hydrasoothe enak banget sih buat sehari-hari. produknya cepat meresap ke kulit, ngak buat minyakan juga di wajah aku, berasa lembab malahan pake sunscreen dari azarine ini. SPF nya 45 dengan PA ++++. oh iyaa, sunscreen ini juga gak buat wajah jadi kelihatan kusam",6 months - 1 year,Shopee,triluda19 recommends this product!,5
163,aboutmyskin,18 and Under,"Oily, Dark, Warm",2024-03-20,"karena aku punya wajah yang oily ,jadi sunscreen ini tu cocok banget di kulit aku, tekstur nya gel dan ringan di kulit, gak lengket, terus cepat nyerap juga, harga nya juga terjangkau kalau produk nya sebagus itu. aku juga ada nanya sama temen dia juga cocok pakai sunscreen ini tipe kulit dia dry to oily.",More than 1 year,Shopee,aboutmyskin recommends this product!,5
164,hanifasarah,25 - 29,",25 - 29",2024-03-19,"wajah lg berjerawat dan sensitif juga enak bgt pake ini, ga nampah bikin jerawat baru, ga bikin berminyak juga..dipakenya dingin dan cepet kering, satset bgt kalau pake ini abis solat ga perlu ngeringin lama lama mukanya",3 months - 6 months,Indomaret,hanifasarah recommends this product!,5
165,Shafiraa00,19 - 24,"Dry, Medium Light, Cool",2024-03-19,"Overall ini oke banget! Terlebih karena kulit aku yang sensitive & kering, ss ini ga nimbulin masalah apapun. Dan ketika aku re-apply pun lumayan ngehidrasi kulit. Tapi beberapa kali aku pake ss ini sebelum pake make up tuh bikin make up ga nempel dan berujung geser :(.",3 months - 6 months,Shopee,Shafiraa00 recommends this product!,4
166,Risyarsmy_,19 - 24,"Combination, Medium Light, Neutral",2024-03-18,"sunscreen favorite aku! teksturnya mirip serum😖❤️ ringan dikulit, dan mudah meresap juga!!❤️ ngga bikin lengket di wajah!😍 no whitecast juga loo!!😭 kapan lagi nemuin sunscreen murah dan no whitecast juga!😍 kalo ga salah ini botol ke 6 aku deh!🥰",More than 1 year,Shopee,Risyarsmy_ recommends this product!,5
167,aura_shalihah,19 - 24,"Dry, Medium, Neutral",2024-03-18,"Pertama kali pake karena pengen ganti ss, ternyata cocok ada efek ngelembabin juga, jadi pengen repurchase seneng juga karena gaada white cast sama sekali, cepet ngebland juga waktu dipake, dan ada blue light proctection",1 month - 3 months,Watson,aura_shalihah recommends this product!,5
168,Miftadiyah,25 - 29,"Normal, Medium Dark, Warm",2024-03-17,"mencoba sunscreen dari produk azarine yang satu ini, teksturnya yang watery banget bikin kulit aku yang berminyak ngerasa enteng, enggak lengket dan bikin nyaman kulit di wajah. Oiya produk ini bisa dibeli offline/online ya. yuk buruan belii",Less than 1 week,Shopee,Miftadiyah recommends this product!,5
169,dm12,25 - 29,"Dry, Medium, Neutral",2024-03-17,"Yang sempat viral dan aku akui, karna ringan dikulit, mudah meresap. Teksturnya gel yang cepat meresap. Sangat lightweight (sesuai dengan claimnya for sunscreen haters). Enak banget dipakenya. Nyaman, gak greasy sama sekali dan untuk harganya juga dia murah affordable banget",More than 1 year,Shopee,dm12 recommends this product!,5
170,gloomyeay,19 - 24,"Oily, Medium, Warm",2024-03-16,"bagusss teksturnya kayak moisturizer, feelsnya memlembabkan! cukup nyaman dipake di kulit oily aku, tp menurutku dia lebih enak dipake waktu cuaca dingin, soalnya dia agak gerah kalo dipake panas panasan. plusnya bisa ditemuin di mana aja✅",1 month - 3 months,Guardian,gloomyeay recommends this product!,5
171,lovelyaaa,18 and Under,"Oily, Medium, Neutral",2024-03-15,"tekstur nya ringan banget, untuk wajah tipe oily lumayan oke buat nahan minyak, tapi di kalau di aku dia agak bikin kusam. dan juga harganya lumayan murce buat kantong pelajar, tapi kalau untuk di repurcase aku gak dulu dan lebih milih sunscreen yang lain",1 month - 3 months,Shopee,lovelyaaa recommends this product!,3
172,rinisapp,25 - 29,"Combination, Medium Dark, Neutral",2024-03-15,"aku biasanya suka gunta ganti sunscreen, tapi gatau kenapa pas cobain ini kok suka bangetttt, jadi ga kepikiran buat ganti lagi. lembut gitu di wajah. ga bkin Cemeng atau apa ya namanya, pokonya suka deh. rekomended si kalian wajib cobain ini kaya aku",Less than 1 week,Lazada,rinisapp recommends this product!,5
173,abrils,19 - 24,"Combination, Medium Light, Neutral",2024-03-14,"Aku rekomen ini untuk tipe kulit yang ga terlalu oily, karena aku pakai ini berat di muka, saran aku spf nya jangan terlalu tinggi karena dri pengalaman aku waktu pakai spf yang tinggi jadi komedoan, aku pakai minimal spf 35 dari azarine juga yang hijau muda, kalau ini aku rekomen yang kulitnya pakai spf tinggi ga kenapa” i mean ga komedoan, jerawat dll skrng aku beralih ke azarine yang hijau muda ><",1 month - 3 months,Shopee,abrils recommends this product!,4
174,septianra,30 - 34,"Dry, Medium, Neutral",2024-03-13,"Sunscreen andalan ketika mau panas-panasan di luar ,, ringan ketika d aplikasikan ke wajah ga bikin wajah jadi kusam atau whitecase ,, dan ga lengket jga ,, cepet banget meresap k kulit wajah ,, meskipun spf nya tinggi tapi ga bikin perih kalo ga sengaja kena mata",More than 1 year,Shopee,septianra recommends this product!,5
175,desyntaalk,19 - 24,"Combination, Medium, Neutral",2024-03-12,selama 2 tahun pakai produk ini aman-aman aja sihh. aku sukanya produk ini tu gak whitecast dan gampang nyerap banget di muka. sempat pindah ke sunscreen yang lain tapi tetep aja balik lagi ke sunscreen azarine yang inii.,More than 1 year,Shopee,desyntaalk recommends this product!,5
176,Amajestika,35 - 39,"Combination, Medium, Cool",2024-03-12,"azarine Cocok banget di muka aku gak bikin jerawatan ,untuk bekas jerawat juga bisa tapi gak langsung hilang butuh proses berapa kali pemakaian lama2 memudar bekas jerawatnya , cepat meresap di kulit gak bikin berminyak dan no whitecast.",3 months - 6 months,Tokopedia,Amajestika recommends this product!,5
177,AidaArisa,18 and Under,"Oily, Medium, Cool",2024-03-11,"Jangan pake ini kalo lagi pake bahan aktif soalnya nimbulin rasa cekat-cekit (bahkan burning) di muka. Dia tu non-comedogenic banget, jadi ga nimbulin jerawat2 kecil. Ini akan cocok untuk remaja yang <20 tahun dan blom nyoba bahan aktif yang irritating.",6 months - 1 year,Shopee,AidaArisa recommends this product!,4
178,adrinefa,18 and Under,"Combination, Medium, Neutral",2024-03-10,"oh noooo sayang sekali wajahku ngga cocok pakai inii, i don't really understand whyy padahal ni produk viral bgt, banyak yg cocok and oily skin friendly. sayangnya saat aku pakai ini nambah mukaku keringetan paraaahhhh, apalagi di t-zone aku kira cuma gerah trnyata setelah abis 1 tube aku sadar klo ini ngga cocok, mungkin sunscreen yg teksturnya gel gini bukan tipeku yaa huhuu, nice try laahh",1 month - 3 months,Gift,,2
179,Amore2023,35 - 39,"Combination, Medium, Neutral",2024-03-10,"anggaplah saya inj fomo, apa yang lagi viral saya cobain, ngerasain cocok nggak di muka. eh, terkezuut. ternyata emang sebagus itu. pantes aja viral. feelsnya adem di muka. nggak piling, gampang di blend, nggak whitecast. kemasannya gede, ngga cepet abis. tapi kalo abis wudhu, harus re-apply ta. nggak waterproof soalnya. repurchase? harus dong. kapan lagi ada sunscreen murah, banyak, dan nampol pulak.",3 months - 6 months,Shopee,Amore2023 recommends this product!,5
180,Deasyyyy,30 - 34,"Combination, Medium Light, Warm",2024-03-09,"ini sunscreen terbaikk untuk segi lightweight. Ringan banget, kayak ngga ada berat2nya sama sekali di muka. Cuma pake nya mesti nunggu mayan lama sih buat dia meresap. Trus kadang suka pilling di aku kalo pake masker. Jadi aku pake ini kalo ga masker an",More than 1 year,Shopee,Deasyyyy recommends this product!,4
181,dindaindriani,19 - 24,"Combination, Medium, Neutral",2024-03-07,"bagus banget, kata temen aku wajah aku glowing sehat gitu pake ini. aku kira bakalan ada whitecastnya ternyata gaada. cocok cocok aja di wajah kering kayak aku. ringan banget dan langsung menyerap kekulit. pokoknya rekomen sih",More than 1 year,Shopee,dindaindriani recommends this product!,5
182,selih,25 - 29,"Combination, Medium, Neutral",2024-03-06,"ini bessssssssttttttt banget tolong 🤩🤩 aku rekomend banget sih ini bagus banget di aku yang punya kulit wajah sensitif dan berminyak, teksturnya mudah meresap dan gak lengket juga, pokonya besttt banget 10/10 sih ini, karna sampe sekarang aku masih pake ini 😘💗",Less than 1 week,Official Brand Store,selih recommends this product!,5
183,cvinsen,19 - 24,"Combination, Medium Light, Neutral",2024-03-05,"Love banget sama SS ini! harganya murce tp kualitasnya ga usah diragukan lagi. Teksturnya gel gitu, cocok untuk kulit kombinasi-berminyak dia hasil akhirnya matte soalnya tp untuk kulit kering juga bisa. Bisa untuk pemakaian di luar rumah maupun di dalam rumah. Minusnya ga ada sih kalo di aku. Recommended banget lah!!",Less than 1 week,Zalora,cvinsen recommends this product!,5
184,wandaalfina12,19 - 24,"Combination, Medium Light, Neutral",2024-03-04,"Dikulit aku yang kombinasi dan sensitif ini sangattt cocok bangetttt, dia gakk ada whatecast dan ringan dan sangat cepat menyerap kekulit aku.10/10 dari aku😘.Warning hati"" ada produk palsunya juga yaaa🙃 barang yang palsu biasanya sangat susah menyerap dikulit",More than 1 year,Beli Sendiri,wandaalfina12 recommends this product!,5
185,Taitacntik,18 and Under,"Normal, Medium Light, Neutral",2024-03-04,"Sunscreen azarine spf 45 pa ++++ sunscreen terfavorit dari 2021 😭♥️ ° Tekstur : gel mudah menyerap dikulit dan gak whitecast.° Cocok untuk skin type : normal, oily, acne prone ( cocok²an ), klo kulit kering aku saranin pakai yg azarine cicamide ° isinya banyakkk 50 ml kualitas baguss bgtttt",More than 1 year,Shopee,Taitacntik recommends this product!,5
186,Lilypstick,19 - 24,"Combination, Medium Light, Neutral",2024-03-02,"Awalnya aku excited banget buat nyobain sunscreen ini karena banyak yang cocok. Teksturnya gel, ada sensasi adem saat dipakai, dan cepat menyerap juga. Tapi sayangnya, produk ini gak cocok di aku. Buat kulitku yang kombinasi, finishnya terlalu matte. Saat aku pakai di cuping hidung rasanya perih, dan aku coba pakai sampe 3x malah muncul jerawat-jerawat. Akhirnya aku berhenti pakai.",Less than 1 week,Jelita,Lilypstick doesn't recommend this product!,2
187,shelyyyn,19 - 24,"Dry, Medium, Neutral",2024-03-02,"Salah satu sunscreen terenak yg pernah aku coba. Teksturnya gel, ada wanginya sedikit, gak perih kalo kena mata. Pas dipake ada sedikit sensasi coolnya, melembabkan, cepat menyerap, non comedonic, ga bikin kusam, dan hasilnya muka jadi lembut. Kalo udah mau habis biasanya aku potong karna masih ada sisa produknya wkwk",3 months - 6 months,Tokopedia,shelyyyn recommends this product!,5
188,widya1208,19 - 24,"Combination, Medium Light, Neutral",2024-02-29,sunscreen yg gak whitecas . dan ringan bgt.. spf lumayan tinggi 45pa++++ . rekomend bgt buat kulit oily atau kombinasi ya. pertama kali coba dan langsung secinta itu sama azarine sunscreen hidrashoot. kalian wajib sih cobain.. karna produk ini best bgt,1 week - 1 month,Shopee,widya1208 recommends this product!,5
189,VanLtf99,19 - 24,"Normal, Light, Neutral",2024-02-27,"Gampang banget diratain ke kulit, cepat sekali menyerap dengan finished yg matte, gak bikin perih di kulit sekitar mata juga, teksturnya unik banget dan aku suka banget, gila aku pake ini entah sudah berapa kali repurchase terus.. cinta mati polll ama ni produkk.. jadi please azarine don't discontinue this!! dan juga tolong bikin versi ukuran jumbo nya!",6 months - 1 year,Shopee,VanLtf99 recommends this product!,5
190,dtnatika,25 - 29,"Combination, Medium, Neutral",2024-02-27,"Sunscreen terbesssttt sih ini, gak bikin kusam di wajah dan gak lengket itu sih yg utama, cuma di aku agak lama keringnya yaaa tp tiap org beda2 yaaa. Tapi ini bagus banget sih ringan di wajah, ga bikin bruntusan. Recccoommendd bgt 😍👍🏻👍🏻 ohya tapi harus hati2 ya kalo beli di ecomm ada yg palsu",More than 1 year,Shopee,dtnatika recommends this product!,5
191,cristaniaa,19 - 24,"Combination, Medium, Warm",2024-02-25,Pengalamanku pribadi memakai Sunscreen dari azarine inii cukupp bagus untuk melindungi kulit dari paparan sinar UV Produk ini memiliki tekstur gel yang nyaman dan ringan di kulit. Sunscreen ini memberikan hidrasi yang cukup dan mudah meresap di kulit.,1 month - 3 months,Indomaret,cristaniaa recommends this product!,5
192,hanieluvvv,19 - 24,"Oily, Medium, Neutral",2024-02-25,sunscreen azarine pertama aku wkwkwk untuk harga dan isinya ini lumayan bngt apalagi local produk tekstur nya ringan gampang menyerap ngga bikin jerawatan di kulit aku yg gampang jerawatan ngga bikin kusam juga + ngga bikin makin berminyak lov lah pokonya,3 months - 6 months,Shopee,hanieluvvv recommends this product!,5
193,UlfiMaimunah22,19 - 24,"Normal, Medium, Neutral",2024-02-24,"bagus banget sih untuk cuaca yang yg di Kalimantan yang lagi panas-panasnya, harga nya juga murah di kantong emak"" ye,, cocok di semua kalangan dan lebih penting gampang di cari, offline bisa online pun bisa,ada efek"" glow nya setelah di pakai",Less than 1 week,Indomaret,UlfiMaimunah22 recommends this product!,5
194,lukisyakira,30 - 34,"Normal, Medium Dark, Neutral",2024-02-23,"azarine ini aku udah lama banget tau produknya,tapi baru nyoba setelah pake sunscreen lain,setelah dicoba emang waww sebagus itu,ringan dipake,ga lengket,cepet bgt meresap,yg aku suka ini non alkohol,recomended 👍 harganya juga terjangkau 🥰",1 week - 1 month,Shopee,lukisyakira recommends this product!,5
195,na_ra,18 and Under,"Normal, Dark, Neutral",2024-02-22,"hai semuanya kalian wajib cobain sunscreen azarine yg ini karena ini bagus banget buat kulit yg kering dan buat yg masih pemula wajib nyobain sunscreen azarine, sunscreen ini juga melembabkan loh, untuk kulit gelap sangat cocok karena tidak menjadi abu abu, dan sangat ringan di pakai sehari hari",1 month - 3 months,FD Try and Review,na_ra recommends this product!,5
196,zahraazrr,25 - 29,"Combination, Medium Light, Neutral",2024-02-22,"Sunscreen yang ringan banget di kulit, gak berat sama sekali, no whitecast sama sekali. Ini recomended bgt untuk kulit yang oily, kalau dry skin mungkin akan berasa kering banget. Karena kalo abis pakai ini memang jadi semi matte gitu kulit, Cocok untuk oily skin.Untuk efek perlindungan sih kalau untuk kegiatan sehari-hari ini masih melindungi sih menurutkum tapi untuk yang beneran akan panas2an saran pakai sunscreen yang spf lebih tinggi sih,",More than 1 year,tiktok,zahraazrr recommends this product!,5
197,nabilays,19 - 24,"Dry, Medium Light, Neutral",2024-02-21,"Enak sih dipakenya, teksturnya ringan. nyobain punya mas pacar soalnya aku lupa bawa sunscreen, dan ga nimbulin efek negatif sih di kulit aku, ga bikin wajah jadi kusam juga. teksturnya favorit aku sih, gampang nyerap di kulit. overall 8/10 sih dari aku.",1 week - 1 month,Sociolla,nabilays recommends this product!,4
198,annisaekaa,25 - 29,"Combination, Medium Light, Neutral",2024-02-21,"Enak bgt diapply, teksturnya ringan dan nggak whitecast.Udah repurchased 3xDi kulit jadinya lembab dan nggak oily.Udah nggak khawatir lg kena panasnya Banjarbaru yg menyengat banget.SS nya azarine ngefek bgt di kulitku.Bye bye kubel🥰",6 months - 1 year,Shopee,annisaekaa recommends this product!,5
199,ameliadion,19 - 24,"Normal, Medium, Neutral",2024-02-20,"pengalaman aku pake sunscreen dari Emina bener² se bagus ituuu😍😍, aku tipe kulit yang normal ke oily rasanya bener senyaman itu,, sama sekali ngga bikin kusam ataupun berminyak. tekstur nya gel tapi ngga terlalu, finishnya matte tapi yang buat kulit wajah keliatan sehat.",More than 1 year,Shopee,ameliadion recommends this product!,5
200,Khofifatur,19 - 24,"Combination, Medium, Warm",2024-02-20,Sunscreen ini oke aman buat kulitku ga bikin kusam juga. Harganya worth it dan mudah di temukan cuma sayangnya dia ngasih feel di kulitku kayak ada lapisan diatas wajahku jadi aku merasa kurang nyaman pakai ini dan bikin aku malas buat reapply sunscree. buat kalian dicoba aja mungkin saja efeknya berbeda,3 months - 6 months,Official Brand Store,Khofifatur recommends this product!,5
201,lullahatikah,19 - 24,"Oily, Medium, Neutral",2024-02-19,"Sunscreen sejuta umat! untuk yang kulitnya oily kaya aku menurut aku ini sunscreen yang aman sih, karena sejauh ini dari banyaknya sunscreen yang pernah aku coba, ini yang paling ga minyakan dan mudah nyerapnya di aku♡",3 months - 6 months,Shopee,lullahatikah recommends this product!,5
202,virarossa_,19 - 24,"Combination, Medium Light, Warm",2024-02-17,"ini recomended bgttt untuk kulit berminyak/combinasi! bener bener minyak berkurang dimuka aku setelah pakau ini, dan bekas jerawat pun memudar :D worth it bgtttt sih! harga juga affordable bgttt!! kalian harus coba gais, jerawat put cepet keringnya avvv... #FDBagiBagiHadiah #FDBBHFree Treatment",1 week - 1 month,Lazada,virarossa_ recommends this product!,5
203,Abelinsy,19 - 24,"Combination, Medium, Neutral",2024-02-16,"aku kenal azarine baru beberapa bulan ini, awal nya aku pakai sunscreen merek lain dan itu bener bener whitecase, tapi azarine kombinasi kandungan yg perfect, mudah meresap, ringan, mencerahkan, tidak whitecase, jatuh cinta banget🫶🫶",1 month - 3 months,Shopee,Abelinsy recommends this product!,5
204,nailanampira,19 - 24,"Oily, Medium, Neutral",2024-02-14,"udah 2 kali repurchase sunscreen ini, harganya affordable untuk kemasan 50ml terus proteksinya jg tinggi spf 45+. Buat feelnya waktu di apply gampang merata, gaada whitecast di aku dan ga lengket, cuman kurangnya habis diratain jadi kerasa berat dimuka dan kayak ada lapisan yg narik di kulit. but overalll good dan gampang dibersihin",6 months - 1 year,Shopee,nailanampira recommends this product!,3
