username,skintype,date,review_content,purchase_point,rating,Jenis_Produk,trend,age_category,periode_penggunaan,Recommend,skintone,undertone
dirkonjin,Dry,2024-09-08,"Sumpah bagus banget sunscreen azarine ini, sampe sekarang belum nemu sunscreen yang kaya gini, di aku yang kulitnya kering dia masih aman aja dan enaknya dia gampang meresap gak lengket terus juga dia gak perih di mata worth it harga segini sih",Shopee,5,Azarine Hydrashoote Sunscreen Gel,57,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
anitaflooo,Dry,2024-09-09,Sunscreen yg sempet hype sejuta umat. Iseng coba ehh malah cocok. Sayangnya aja kadang kurang konsisten makenya. Teksturnya creamy tp pas udh diolesin ke muka gk bikin lengket. Langsung ngeblend cepet nyerap dan gak bikin gerah atau ninggalin whitecast mau dipake setebel apapun itu worth to try pokoknya !,Shopee,5,Azarine Hydrashoote Sunscreen Gel,52,dewasa matang,Jangka Menengah,recommend,Medium Light,Neutral
Fajarind,Combination,2024-09-10,"Jujur aku waktu itu lagi mencari sunscreen yang cocok karena udah coba beberapa merek kurang maksimal di wajah bahkan ada yang bikin kusam dan nimbulin jerawat. Setelah ku coba pake ini bener bener ngefek banget, sangat ringan di wajah efeknya calm di kulit aku dan ga bikin kusam. Jujur dengan harga segini it works siii",Tiktok Shop,5,Azarine Hydrashoote Sunscreen Gel,62,dewasa muda,Jangka Menengah,recommend,Medium Dark,Neutral
eldira03,Normal,2024-09-11,"Gampang menyerap dan cukup melembabkan jadi gak perlu pakai moisturizer lagi tapi kurang cocok dipakai untuk makeup, karena di bagian hidung  gak nempel makeupnya. Rekomen untuk yang gak suka makeup dan tipe kulit kering",FD Try and Review,4,Azarine Hydrashoote Sunscreen Gel,50,dewasa muda,Jangka Pendek,recommend,Medium Dark,Warm
chvvr_,Combination,2024-09-28,"Dapet rekomendasi sunscreen keren ini dari oomf, Auryn. Penyelamat banget dari sunscreen yang sebelumnya bikin kulit aku breakout. This is best of the best sunscreen who had adorable prices and really suits kantong pelajar seperti kita-kita ini. No whitecast, lembab sekali, wangi, murce, gak bikin makeup luntur, cocok buat oily skin, dan gak bikin muka aku gosong. Menurutku ss azarine gaada kekurangan so far aku menggunakan ini dari masa sekolah sampai kuliah :0",Tokopedia,5,Azarine Hydrashoote Sunscreen Gel,45,dewasa muda,Jangka Menengah,recommend,Medium Dark,Neutral
fzshakira_,Combination,2024-10-30,"suka banget sama tekstur gel nya😆, ngampang menyerap kulit, di aku ini bagus untuk skinprep sebelum make-up, jadi lumayan awet make-upnya 🙂‍↕️ ini bagus udah spf45 . dan ini udh upgrade formulanya jad lebih bagus, kelen cobain juga yuk, samaan pakai produk ini juga",Shopee,5,Azarine Hydrashoote Sunscreen Gel,42,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
nadhifa_15,Combination,2024-09-29,"teksturnya enak bngtt ga adaa whitecast nya dipake juga nyaman, bisa digunakan untuk daily cocok bngt buat yg kulitnya sensitif, mnrtku dia juga cocok buat wajah jerawatan, dipake juga ga berat. buat anak sekolah yang bingung cari sunscreen ini rekomended",Tiktok,5,Azarine Hydrashoote Sunscreen Gel,65,dewasa muda,Jangka Pendek,recommend,Medium Dark,Neutral
febry_ananda,Dry,2024-10-29,tekstur sunscreennya tuh bagus karena gampang di blend dan cepat nyerap di kulit terus ga perih di mata dan ringan di kulit tapiii sayangnya di muka aku tetap keliatan kusam padahal glowingnya bagus sih. kalo dari segi harga sih worth it banget,Shopee,4,Azarine Hydrashoote Sunscreen Gel,61,dewasa muda,Jangka Menengah,recommend,Medium Dark,Neutral
yasmin_shabira,Combination,2024-10-29,"Tksturnya bagus,tapi cepet oksidasi sih jadi agak gelapan mukaku,luamayan bikin cerah,tapi spf nya gak tau nih soalnya kena matahari tetep kerasa panasnya gitu,gak lengket sih,cepet nyerap juga,wanginya aku lumayan suka,terus dia tu watery jdi cepet ngeresap",Tiktok Shop,4,Azarine Hydrashoote Sunscreen Gel,61,dewasa muda,Jangka Pendek,recommend,Medium Dark,Neutral
rahelfriskila,Normal,2024-08-20,"Sebenernya teksturnya enak watery dan mudah menyerap ke kulit tapi di wajah aku malah bikin tambah kusem after 1-2 jam pemakaian, btw kulit aku normal to oily. Tapi harganya murah jadi lumayan lah ya dan isi produknya juga ga yang dikit dikit banget.",Shopee,3,Azarine Hydrashoote Sunscreen Gel,62,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
dindafebrianisyah,Oily,2024-10-30,"pengalaman sayas sejak menggunakan produk ini sangat bagus dan juga ringan saat di gunakan cocok untuk kulit oily dengan tekstur mudah di bland dan hargany pun cocok untuk pelajar, spf ny juga sudah oke untuk di gunakan di outdoor , jangan sampai skip sunscreen!!!!",Brand Website,4,Azarine Hydrashoote Sunscreen Gel,42,dewasa muda,Jangka Panjang,recommend,Medium Light,Neutral
ade_anggi,Oily,2024-10-31,"Sunscreen kecintaan akuu.. Gak bikin muka jdi abu-abu. Ada kali udh 10 tube ngabisinnya. Teksturnya ringan, gak lengket dan ceoet bgt menyerap di kulit. Blm kepikiran buat pindah ke ss yg lain. Mungkin nanti kalo udh bosen baru deh pindah",Shopee,5,Azarine Hydrashoote Sunscreen Gel,37,dewasa muda,Jangka Panjang,recommend,Medium,Warm
tetalicu,Combination,2024-10-31,"udah beberapa kali nyobain sunscreen merk lain tapi selalu balik lagi ke azarine ini,karna tekstur nya gel,lembut,tidak bau alkohol,dipake ke muka juga enak ga lengket pokoknya bagus banget deh aku suka banget sm produk sunscreen ini hehe",Shopee,5,Azarine Hydrashoote Sunscreen Gel,37,remaja,Jangka Panjang,recommend,Medium,Neutral
Rosafitrie,Oily,2024-11-01,"enggak bikin kulit lengket dan ga berbau harganya murah bisa ditemukan dimana aja, produknya jugak udh ada yg besar sehingga lebih awet dalam penggunaan sunscreennya, promo yg ditawarkan jugak besar diskonnya dan ga buat kulit jerawatan",Shopee,5,Azarine Hydrashoote Sunscreen Gel,45,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
yulianggrns,Combination,2024-11-01,"sunscreen murah tapi bagus, ngga bikin whitecast, cepet menyerap super satset dan bisa dibeli di offline/online store, sering promo juga🤩 repurchase banyak bgt krn cocok dan bagus dipake under makeup trs ngga bikin peeling pokoknya jd my go-to sunscreen🤩🫰🏻",Shopee,5,Azarine Hydrashoote Sunscreen Gel,45,dewasa muda,Jangka Pendek,recommend,Medium Light,Warm
Ruthssrg,Normal,2024-11-02,"Ini bagus bgt, di aku ringan dan sama skali ga bikin lengket. udah berkali2 repurchase jugaaa <3 kalian buat yang nyari sunscreen murah dan ringan, mungkin produk ini adalah best choice buat kaliannn, apalagi untuk anak sekolahan dan kuliahan",Shopee,5,Azarine Hydrashoote Sunscreen Gel,56,dewasa muda,Jangka Panjang,recommend,Medium Light,Neutral
rahmadewi2002,Dry,2024-11-03,"sunscreen legend banget! udah pakai ini lebih dari setahun dan ini sunscreen ternyaman! teksturnya ringan dan mudah menyerap, harganya juga terjangkau untuk kantong mahasiswa, formulasinya juga sangat pas untuk kulit 20 tahun keatas",Shopee,5,Azarine Hydrashoote Sunscreen Gel,59,dewasa muda,Jangka Panjang,recommend,Medium,Warm
Imnisa,Combination,2024-11-03,"cocok banget buat aku yg sensitive dan oily skin, ga buat beruntusan dan buat pori-pori kecil. suka banget paake ini jadi sleeping mask, buat kulit bangun pagi-pagi jadi kenyal kinclong banget. must try banget buat kita pejuang acne dan big pore",Female Daily Studio,5,Azarine Hydrashoote Sunscreen Gel,59,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
Sekar92,Dry,2024-11-06,"pas lagi viral-viralnya, aku juga ikut coba pake sunscreen yang satu ini. Menurut aku oke banget di muka apalagi kulitku tipe yang kering, jadi pake ini tuh langsung melembabkan rasanya. Jadi berasa gak pake sunscreen, tapi pake moisturizer. Tapi ya udah gitu aja. Dan aku gak repurchase lagi sih untuk yang ini. Karena lebih suka yang varian orennya, yang ada vit c gitu kalo gak salah",Shopee,4,Azarine Hydrashoote Sunscreen Gel,53,dewasa matang,Jangka Pendek,recommend,Medium Light,Cool
nurainaputrip,Oily,2024-11-06,"Sunscreen terbaik dari azarine yg bisa dipake sama aku dengan kulit oily dan sensitif banget 😂Pokoknya kalo pagi skin prep nya, toner, serum, dan langsung pake sunscreen ini karna udah ngebantu nge lembapin kulitTekstur nya juga gampang di blend dan nyerap, ga ada peeling atau white cast, bener bener nyaman sih pake si hydrasoothe ini",Shopee,5,Azarine Hydrashoote Sunscreen Gel,53,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
virlyalicia,Oily,2024-11-07,"Belum ada niatan ganti sunscreen lagi semenjak pake azarine hydrasoothe ini. Teksturnya ringan, meresapnya gampang, gak greasy juga pas dipake, nyaman pas reapply dan harganya sangat affordable, ada fragrance tp soft banget wanginya 😭👌",Shopee,4,Azarine Hydrashoote Sunscreen Gel,50,dewasa muda,Jangka Menengah,recommend,Light,Neutral
multifangs,Oily,2024-11-07,Ini texturenya gel gitu kan jujur di aku gaada adem2nya sih.. btw Aku sempet pake seminggu-2 minggu gitu non stop dan menurut aku kurang cocok buat jangka panjang. Dia bikin kusem gitu pas siang jam 2an zzz jam 2.30 udah minyakan (aku pake kalo ga de jam7 jam 9 karna aky kuliah) entah menurut aku yg acne prone skin lebih pilih yang sunscreen agak bedak ada powder di dalemnnya gt sih drpd gel cream,Guardian,2,Azarine Hydrashoote Sunscreen Gel,50,remaja,Jangka Pendek,not recommend,Medium,Neutral
Audita14,Combination,2024-11-08,"Siapa yg pake sunscreen berbeda utk di Wajah dan di leher? Sunscreen ini spesial utk penggunaan di leher di saya yah. Utk wajah saya menggunakan exclusively mineral sunscreen. Leher kan banyak lipatan dan pergerakan ny yah, menunduk, mendongak, menoleh, dll dan mineral sunscreen pasti makin kelihatan whitecast-nya pas keringatan tuh, streaky, dan mengumpul putih nya terutama di liputan leher. So, saya pake chemical sunscreen di leher. Saya suka, merekomendadikam dan akan terus lanjut menggunakan..",Shopee,5,Azarine Hydrashoote Sunscreen Gel,51,dewasa matang,Jangka Menengah,recommend,Medium,Neutral
dhonks,Combination,2024-11-08,"Pake produk ini untuk melundungi muka biar aman dari terpaan dan deraan sinar matahari, rasanya ooe sii dan gak lengket udah gitu teksturnya lembut. Kemasan oke denganbperpaduan warna yang menarikWorth it price lah menurutku. Recommended",Lazada,4,Azarine Hydrashoote Sunscreen Gel,51,paruh baya,Jangka Menengah,recommend,Medium Dark,Warm
nawrahzhafirahh,Combination,2024-11-09,"Rekomended! Sunscreenazarine tidak lengket, cepat meresap, cocok untuk segala kulit, saking bagusnya aku juga rekomendasiin sunscreen azarine ke teman-teman dan keluargaku dan terbukti dimereka juga cocok, tidak bikin iritasi kulit atau semacamnya, worth to buy!",Shopee,5,Azarine Hydrashoote Sunscreen Gel,52,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
rasellamutiara,Combination,2024-11-14,Suka banget sama texture sunscreennya karna ringan dan gak whitecast sama sekali pas diaplikasin ke wajahku yang sensitif ini huaaa plus ini aku beli ps jakarta x beauty dan dapet pc nya lee min hoo hahaha happy bgt udah cocok malah dapwt pc ayangku,XBeauty by Female Daily,5,Azarine Hydrashoote Sunscreen Gel,44,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
azkinafara,Oily,2024-11-14,"Udah 4x ganti merk sunscreen tp masih gaada yg cocok. Akhirnya thn 2022 beli ss azarine pure iseng karena BA nya Lee Min Ho😭😭lah kok cocok😍keterusan deh sampe sekarang. Sangat amat ringan dan nyaman, cepat meresap, COCOK POKOKNYA. Best sunscreen 💋💋",Shopee,5,Azarine Hydrashoote Sunscreen Gel,44,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
Vinna23,Oily,2024-11-15,"pernah coba punya temen, teksturnya mirip-mirip sama varian lainnya. gel lembut yang moist dan mudah di aplikasiin. no whitecast juga. an option buat kulit kmu yang sensitif dan butuh yang gentle-gentle aja, overall suka. bakal beli buat diri sendiri",Sample,4,Azarine Hydrashoote Sunscreen Gel,39,remaja,Jangka Pendek,recommend,Medium,Cool
yunisaan,Combination,2024-11-16,Azarine tuh akh bener2 pake pas lagi hype2nya sekitar 2 taun kebelakang WKWKWKW sampe skrg jugaksi. Love n hate aja deh dr awalnya cocok bgt parah sampe skrg ya so so gt🥲🥲 kayanya semenjak ganti formula diaku kaya gampang breakout gt deh hiks sedih tp ttp dipake buag leher dan pasti repurchase terus. Love azarine ss tuh dia ga bikin sumuk trs gampang nyerepnya kaya ga pake ss gapanas gak bikin sumuk. Hate-nya kdg bikin jerawat kecik2 gt hiks tp grgr pake azarine org2 rumah ngikutin dan istiqamah sampe skrg🤩🙏🤩🙏,Beautyhaul,4,Azarine Hydrashoote Sunscreen Gel,45,dewasa muda,Jangka Pendek,recommend,Medium Light,Cool
Tatagils2,Normal,2024-11-16,"Ohalaaw, skg aku tau sih kenapa azarine sunscreen hydrasoothe bagus bgt, awalnya coba pake yg kecil dulu 30ml, eh jadi beli yg 110ml karna suka sama sunscreen azarine ini, pas dipake ada sensasi dingin ya, lembab gitu kaya abis cuci muka terus kering, aku ngerasa seger sih pake ini mungkin karna kulit jadi terhidrasi, dan teksturnya juga Gel milky gitu, gampang diblend ga ninggalin whitecase juga sih aman, ringan juga, pokonya aku suka",Instagram,5,Azarine Hydrashoote Sunscreen Gel,45,dewasa muda,Jangka Pendek,recommend,Dark,Neutral
Daneraalf,Combination,2024-11-17,"Love hate sama ni produk, padahal teksturnya enak banget di kulit gabikin gerah atau sumuk, tapi ada aja numbuh jerawat kalo pake ini, lepas dari ini malah jarang muncul jerawat, harganya standar jadi sekarang udah gamake lagi, mungkin karena ada silicone ga cocok di aku nyumbat pori jadi gampang jerawat",Shopee,3,Azarine Hydrashoote Sunscreen Gel,60,dewasa muda,Jangka Pendek,recommend,Medium,Warm
syifazzahr,Combination,2024-11-17,"Bagus bgt untuk kulit berjerawat dan berminyak, aku setelah pkai sunscreen ini wajahku ada efek cerahnya dan ngecalming juga untuk kulit yg kemerahan, aku pakai iji sudah setahun lebih hihi cocokk bangettt, price nya pun ramah di kantong #skincareempties",Official Brand Store,5,Azarine Hydrashoote Sunscreen Gel,60,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
risanugerah,Dry,2024-10-28,"Sunscreen kecintaan banget sampai rela dibelah biar tidak terisa sedikit pun hehe, teksturnya seperti gel jadi ringan banget dan mudah diserap kulit wajah. Selain itu kandungan produknya juga ga ada mengandung alkohol dan pewangi jadi aman banget dikulitku yang sensitif",Shopee,5,Azarine Hydrashoote Sunscreen Gel,53,dewasa muda,Jangka Panjang,recommend,Medium Light,Neutral
WulanKurnia,Oily,2024-10-28,"Azarine Hydrasoothe Sunscreen Gel, holy grail sunscreen aku! Kulitku kombinasi cenderung berminyak dan sensitif, tapi sunscreen ini nggak bikin breakout sama sekali. Teksturnya ringan, menyerap cepat, dan nggak bikin kulitku jadi greasy.",Shopee,4,Azarine Hydrashoote Sunscreen Gel,53,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
Ayu_u30,Normal,2024-10-27,"Awal pakai ss azarine ini karena lihat kakakku sering pakai dan iseng ikutan pakai ss ini, ternyata dimuka aku bagus, ga bikin muka berminyak, finishing glowing, ga bikin dempul dimuka, ringan dimuka, cocok untuk sehari - hari, love it!!",Shopee,5,Azarine Hydrashoote Sunscreen Gel,53,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
ndyumna,Dry,2024-10-25,"Di aku enak banget, teksturnya ringan dan melembabkan kulit, jadi berasa fresh kalo habis pake sunscreen. Lumayan cepat meresap dan nggak ada white cast juga. Dipake di bawah make up pun aman, ga bikin make up geser.",Lazada,5,Azarine Hydrashoote Sunscreen Gel,52,dewasa muda,Jangka Pendek,recommend,Medium Light,Cool
Witri20,Combination,2024-10-01,"Sangan suka dengan sunscreen azarine ini karna cocok untuk kulit wajah saya, tidak.menimbulkan white case, gel nya mudah d blend mudah meresap juga. Membuat kulitbterasa lembab dan terlindungin dari sinar uv. Wangi nya tidak.menyengat.",Shopee,4,Azarine Hydrashoote Sunscreen Gel,62,dewasa matang,Jangka Pendek,recommend,Medium,Neutral
Dewiey,Dry,2024-10-01,"sunscreen teh the best buat aku, setelah perjalanan panjang mencari sunscreen yang cocok, ga bikin white cast, ga bikin ketarik, ga bikin berminyak, ga bikin jerawatan. teksturnya mirip cream tapi cepat meresap di kulit, ringan en ga kerasa gerah. pokoke top markotop. pemakaian sudah 3than. walau klaimnya lebih cocok untuk kulit berminyak tapi di kulit aku yang kering ini juga oke",Instagram,5,Azarine Hydrashoote Sunscreen Gel,62,dewasa matang,Jangka Panjang,recommend,Medium Dark,Neutral
noonaxx,Oily,2024-10-03,"Sejauh ini, SS yang teksturnya paling enak. Dia cepet nyerap ke kukit juga. Aman banget buat kulit sensitif. Terus tiap pake ini tuh muka jd keliatan kyk plumpy/bouncy gitu tp gk bikin berminyak samsekk",Shopee,4,Azarine Hydrashoote Sunscreen Gel,41,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
Sherina23,Oily,2024-10-04,Tekstur Sunscreen ringan banget di wajah aku dan ga buat efek berminyak dan gak whitecasePokoknya best banget dehh Dah harga sangat terjangkau banget buat gak buat kantong boncos Isi juga lumayan banyak Muantep poll deh sunscreen azarine di aku,Shopee,5,Azarine Hydrashoote Sunscreen Gel,61,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
hadinaw,Combination,2024-10-04,"Mudah didapet di minimarket umum, tapi aku lebih sering dapet di A*** daripada I********. Ringan dan gak mengiritasi, aku lupa sudah setahun atau belum pakai ss ini. Enak ga ada whitecast dan gak memberatkan di wajah, cepat meresap. Untuk pemakaian sehari-hari, mampu melindungi wajahku agar gak terbakar dan gosong, tapi mungkin kalo pergi ke tempat yang panasnya ekstrem, perlu apply sunscreen yang lebih thick.",Alfamart,5,Azarine Hydrashoote Sunscreen Gel,61,dewasa muda,Jangka Menengah,recommend,Medium Light,Warm
akirahana,Normal,2024-10-05,"Aku punya kulit normal-oily, sunscreen ini masih oke dengan kulitku, aku sering berada di outdoor, tapi aku juga reaply sunscreen nya, Tekstur nya dingin terus ringan, mudah di serap, tidak meninggalkan whitecast di kulitku. Harga masih terjangkau dan varian produknya banyak",Traditional Market,4,Azarine Hydrashoote Sunscreen Gel,79,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
syifaanisatr,Combination,2024-10-07,"Salah satu my fav sunscreen hihi, suka banget cepat nyerapnyaaaa dimuka & gak lengket sama sekali!!!! Mudah ditemui dimana2 sekarang guys, cusss yang belum TRY, TRY yukkkk lindungi wajahmu sedari dini biar nanti tidak ada noda2 hitam🙏🏽🫵🏾🤪🤪🤪",Alfamart,5,Azarine Hydrashoote Sunscreen Gel,47,dewasa muda,Jangka Menengah,recommend,Medium,Warm
Asterisiriusis,Oily,2024-10-08,Menggunakan sunscreen jadi lebih menyenangkan dgn Azarine. Cocok untuk kulitku yg normal to oily. Kalo ditimpa make up juga aman ga bikin longsor. Harganya terjangkau worth it dgn kualitas dan isinya. Teksturnya mudah diratakan dan cepat menyerap.,Shopee,5,Azarine Hydrashoote Sunscreen Gel,76,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
bimbooo,Normal,2024-10-08,"Bagus sekalii🫶🏻 Aku udah repurchase beberapa kali dan ini sunscreen paling nampol ngaruh tapi ga bikin sensitive/komedoann. Ringan bgtt langsung nyerep tapi ga kering wajahnya, cocok buat segala jenis kulit. Udah coba 3 varian berbeda tetep sama bagusnya gaada yg bikin iritasi atau demek gitu mukanya",Shopee,5,Azarine Hydrashoote Sunscreen Gel,76,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
haiyogie04,Combination,2024-10-09,"sebelumnya udah cobain berbagai merk sunscreen tapi malah bikin makin kusam dan berminyak apalagi aku gampang keringetan tapii sekrng pake Azarine, ga bikin abu, mudah ngeblend dan ngebantu nahan sinar UV pas lagi ada kegiatan outdoor.",Shopee,5,Azarine Hydrashoote Sunscreen Gel,65,dewasa muda,Jangka Panjang,recommend,Medium Dark,Warm
tasyeeeeeeee,Oily,2024-10-10,"awal awal dulu make ini iseng doang krna spf nya pas aja menurut aku ga kurang dan ga kelebihan, pas make eh cocok, malah lebih bagus dari sunscreen aku sebelumnya yg dari brand sebelah, mana harganya murah lagi 🥹 abis itu beli lagi dan lagi smpe ngerekom ke ibuku ❤️",FD Flash Sale,5,Azarine Hydrashoote Sunscreen Gel,58,dewasa muda,Jangka Panjang,recommend,Medium Light,Neutral
ScarlettHana,Combination,2024-10-10,"Daily sunscreen ku sekarang yang murah bgt tp berkualitas. Efek melindungi dr sinar mataharinya dapet, no whitecast, nggak bkin jerawatan, nggak lengket, nggak berbau menyengat, dan juga nggak bkin berminyak! Teksturnya cair dan ga butuh waktu lama untuk kering",Shopee,5,Azarine Hydrashoote Sunscreen Gel,58,dewasa matang,Jangka Panjang,recommend,Light,Cool
osamars,Normal,2024-09-29,"basic skincare paling dibutuhin, baik untuk kegiatan dalam ruangan (indoor) maupun luar ruangan (outdoor), tekstur gel jadi enak banget buat dipake, tanpa whitecast! sunscreen udah jadi kebutuhan harian sih, apalagi sunscreen azarine ini sangat recomend to try!",Shopee,5,Azarine Hydrashoote Sunscreen Gel,65,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
grasunshine,Dry,2024-10-13,"Sempat bingung milih sunscreen yang ringan, ga bikin kusam dan ga bikin oily. Udah nyoba brand ini itu dari murah sampai mahal. Lewat di social media,akhirnya iseng check out. Pertama kali aku nyoba yang ""calm my acne"" ternyata senyaman itu, dan pertama kali aku bisa ngabisin sunscreen sampai tetes terakhir. Pas udah ga jerawatan, akhirnya beralih ke yang hydrasoothe (awalnya sempat ragu karna takut teksturnya ga sama kayak calm my acne) ternyata aku cocok, sampai sekarang gamau ganti sunscreen ke yang lain lagi, karna udah senyaman itu sama azarine",Shopee,5,Azarine Hydrashoote Sunscreen Gel,68,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
yupitet,Dry,2024-10-16,"not the type of sunscreen I like :( kalo kata orang - orang bagus, tapi entah kenapa waktu aku pake ini aku gak begitu suka sama teksture dan hasilnya dikulitku. malah bikin kulitku jadi kering. kayaknya ini cocok dipake sama yang kulitnya oily deh",Shopee,3,Azarine Hydrashoote Sunscreen Gel,55,dewasa muda,Jangka Pendek,not recommend,Light,Neutral
ikamarthia,Oily,2024-10-17,"suka banget sama teksturnya yang ringan, mudah meresap, dan tidak lengket. gak whitecast juga dan aman banget ditimpa makeup, alias gak peeling. harganya juga affordable. ada size 30 ml, 50ml, dan 100 ml. jadi bisa pilih semua kebutuhan.",PR Package,5,Azarine Hydrashoote Sunscreen Gel,70,dewasa matang,Jangka Menengah,recommend,Medium Light,Neutral
nasywahfajri,Combination,2024-10-18,"sunscreen kesayangan gua, kecintaan gua🫰🫰 gua beneran cinta banget, apalagi sama yang hijo ini, finish nya muantep di kulit gua, lembab? yappss, ketarik? ngga juga, blend nya guampang, tapi emang kalo sunscreen nya udah menyerap terus mau di timpa lagi, harus butuh kesabaran untuk blend nya, hasil mate finish, bagi yang punya oily skin, mantep pakai sunscreen ini. sudah ssegituaja,recommend? yapps, untuk kulit kombinasi masih cocok, lihat aja lah se berapa banyaknya koleksi azarine yang gua punya, ini belum seberapa😞😞🫵 gua tipe nya paling muales kalo suncreen dah di titik penghabisan, harus effort mencet bahkan gunting, makanya jadi numpuk, mungkin ada yang udah habis tapi gua belum cek, pas itu pernah hampir lebih dari 5 paling hampir 10 kayaknya numpuk ni sunscreen, gatau udah berapa kali gua repurche anjir, awal-awal mau cari sunscreen langsung pakai azarine yaudah cocok deh sampai sekarang, pantess sih di bikin versi guede, karena worth it selama pakai ini gaada masalah yang apa banget sih",Instagram,5,Azarine Hydrashoote Sunscreen Gel,45,remaja,Jangka Panjang,recommend,Medium,Neutral
Erkisadita,Combination,2024-10-18,"Bikin kulitwajahku jadi lebih berminyak, dan dikulit ku malah jadi item mungkin gak cocok kali yaa dikulit wajah ku. Tapi teksturnya cukup ringan berasa kayak gak pake sunscreen tp yg untuk harga affordable sih untuk pelajar. Balik lagi tergantungjenis kulitwajah masing-masing",Indomaret,4,Azarine Hydrashoote Sunscreen Gel,45,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
araeoo22,Oily,2024-10-19,"Sunscreen azarine yg ini tuh helpful bgt buat aku, sebelum pake sunscreen azarine sempet pake merk lain sebenernya cocok juga tapi dimuka aku yg oily berasa berat trs juga meresap ke kulitnya lama sedangkan aku lumayan sibuk butuh yg cepet² dan pilihan aku di suncreen azarine ini, dia cepet meresap, ga whitecast, ringan juga dimuka aku yg oily dan sedikit bantu calming jerawat aku juga, akhir² ini aku juga suka pake ampe bibir juga dan dibibir aku juga engga berat dan malah ngeredain hiperpigmentasi di bibir aku juga",Shopee,5,Azarine Hydrashoote Sunscreen Gel,55,dewasa muda,Jangka Panjang,recommend,Medium Light,Neutral
rarazarwanii,Combination,2024-10-22,"inii di kulit aku yg oily aman sihh control oil nya lumayan, truss gampang banget menyerapnya. kandungannya juga bagus bagus banget. trus packagingnya okee ga buat tumpah tumpah. pokoknya kalian wajib cobain deh yg kulitnya oily ataupun acne",Shopee,5,Azarine Hydrashoote Sunscreen Gel,52,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
evelynvanessa,Combination,2024-10-22,One of my fav sunscreen! Non-sticky and non-greasy buat kamu yang punya combi-oily skin kayak aku! Overall super recommended soalnya murah + bagus + isinya banyak like what more do you need from a sunscreen?,Shopee,5,Azarine Hydrashoote Sunscreen Gel,52,dewasa muda,Jangka Panjang,recommend,Light,Neutral
yourcindybae,Oily,2024-10-23,"Cinta banget sama Azarine karna ga overclaim🫶🏻Selama pake sunscreen ini bener bener ga ada efek aneh aneh, walaupun terpapar sinar matahari cukup intens karna aku pekerja lapangan tapi asal rajin reapply bener bener ga bikin belang. Perlindungan SPF nya bener bener nampol bgt🫶🏻🫶🏻 mau sungkem sama yg ownernya🙏🏻🙏🏻",Shopee,5,Azarine Hydrashoote Sunscreen Gel,55,dewasa muda,Jangka Menengah,recommend,Medium Light,Warm
wulanlarassaty,Combination,2024-10-23,"Sunscreen terringan karna teksturnya gel jadi mudah banget untuk ngebland dan langsung meresap, cocok untuk semua jenis kulit, dipakai sebelum makeup pun aman tidak geser makeupnya, dan buat kalian yg rutin treatment ini sunscreen cocok bgt dipakai setelah nya",Shopee,5,Azarine Hydrashoote Sunscreen Gel,55,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
bungaayuu,Combination,2024-10-24,"so sorry buat yang cocok dan suka sama produk ini, tapi di kulitku produk ini bikin breakout parah.. :( jerawat juga komedo langsung panen. dan aku ngerasanya kok malah gerah dan jadi kusam kalau pakai produk ini. so sorry :((",Shopee,3,Azarine Hydrashoote Sunscreen Gel,57,dewasa muda,Jangka Pendek,not recommend,Medium,Neutral
riyenimeliala,Combination,2024-10-24,"Pertama kali coba, ringan, cepat meresap di kulit, dan tidak lengket.Produk ini tidak meninggalkan whitecast pada kulit.Cocok untuk kulitku yang kombinasi & natural matte finish.Dipakai setelah menggunakan pelembab pada pagi hari, bisa reapply setiap 3-4 jam sekali jika kegiatan di luar ruangan.",Brand Website,5,Azarine Hydrashoote Sunscreen Gel,57,dewasa matang,Jangka Pendek,recommend,Medium,Neutral
Nuzhiladwislma,Combination,2024-10-25,"Sebenernya kalo cocok ini enak sih dipakai soalnya teksturnya gel dan ringan banget. Gampang untuk apply dan mudah menyerap. Tapi di kulit aku ini gak cocok, dalam satu hari dia udah menimbulkan beruntusan di jidat aku",Shopee,3,Azarine Hydrashoote Sunscreen Gel,52,dewasa muda,Jangka Pendek,not recommend,Medium,Neutral
